id,name,warden,phone,beds,elevation_m,latitude,longitude,website_url
262,Austria-Hütte,,+436767200021,44,1638,47.4243,13.6001,https://www.alpenverein.at/austriahuette
263,Winteregghütte,Urs Vogt +41 79 915 19 16,+41 79 915 19 16,30,1897,46.460438,7.649975,https://www.sac-biel.ch/huetten/winteregg.php
264,Binntalhütte SAC,Lachat Marie-Claire (RdR),+41 27 971 47 97,50,2265,46.374922,8.291807,https://cabane-binntal.ch/
265,NOT_FOUND,,,,,,,
266,Zittauer Hütte,,+436648732205,59,2.328,47.163473,12.124178,https://www.zittauerhuette.at
267,Wolayersee-Hütte,,+43720346141,64,1.960,46.6124,12.8670,https://www.wolayerseehuette-lesachtal.at
268,Obstansersee-Hütte,,+43 664 932 978 99,60,2304,46.684367,12.493746,https://obstans.jimdo.com/
269,Sewenhütte SAC,Gehrig-Gisler Walti und Ursi,+41 41 885 18 72,58,2150,46.74,08.52,https://www.sewenhuette.ch/
270,Prinz-Luitpoldhaus,,000000000000,160,1846,47.392477,10.420012,https://www.prinz-luitpoldhaus.de
271,Kaunergrathütte,,+43 6643501179,59,2.817,46.993889,10.806944,http://www.kaunergrathuette.at
272,Otto- Mayr-Hütte,,+491604592237,60,1530,47.5931,10.61855,https://www.ottomayrhuette.com
273,Millstätter Hütte,,+4366473633439,24,1.880,46.8483,13.5942,http://www.millstaetterhuette.at
274,Kröntenhütte SAC,Irene Aeberhard & Ueli Arnold,041 880 01 22,76,1903,46.8001,8.57543,https://www.kroentenhuette.com/
275,Neue Regensburger Hütte,,+43 664 202 50 70,101,2286,47.054707,11.198342,https://www.regensburgerhuette.at
276,Sesvennahütte,,+39 375 9738950,58,2256,46.73449,10.43552,https://sesvennahuette.it/
277,Cabane de l'A Neuve CAS,Martine Gabioud,027 783 24 24,20,2735,45.949231,7.066975,https://cas-diablerets.ch/cabanes/cabane-de-la-neuve/
278,Cabane du Mountet CAS,Perrine Grand,027 475 14 31,90,2886,46.060689,7.653619,http://www.cas-diablerets.ch/
279,Cabane d'Orny CAS,Alain Custovic,+41 27 783 18 87,80,2831,46.000705,7.034627,https://cas-diablerets.ch/orny
280,Cabane Rambert CAS,Pascal Snoeck,+41 27 207 11 22,38,2582,46.230205,7.134205,https://www.cas-diablerets.ch/cabanes/cabane-rambert/
281,Cabane du Trient CAS,Genet Olivier,+41277831438,90,3170,46.000063,7.043639,http://www.cas-diablerets.ch
282,Haus und Hütte Hammer,,+498028905386,81,750,47.70373,11.94016,https://www.haus-hammer.de
283,Potsdamer Hütte,,0043 676 6020560,38,2020,47.14,11.20,https://www.potsdamer-huette.de/
284,Schlernbödelehütte,,+39 0471 1885169,20,1693,46.52,11.58,http://schlernboedelehuette.com
285,Radlseehütte,,+39 0472 855230,40,2284,46.707917,11.580207,http://www.radlseehuette.it
286,Brunnenkopfhäuser,,+491756540155,26,1602,47.581269,10.927067,https://brunnenkopfhuette.com
287,Soiernhaus,,+49 171 5465858,45,1616,47.49,11.35,https://www.soiernhaus.de
288,Bivouac de l'Envers des Dorées,Gilbert Maillard - intendant,+41 27 321 11 16,18,2983,45.979796,7.048766,http://www.cas-dent-de-lys.ch/?page_id=20
289,NOT_FOUND,,,,,,,
290,Chamanna Georgy,Valerio Glisenti,0793399765,20,3175,46.487882,9.955766,https://www.chamanna-georgy.ch
291,NOT_FOUND,,,,,,,
292,Kürsinger-Hütte,,+43 720 920 444,140,2558,47.122847,12.300099,http://www.kuersinger.at
293,Carl-von-Stahl-Haus,,+49 8652 6559922,113,1736h,47.574750,13.042617,http://www.stahlhaus.at
294,Sölden-Hütte,,+43 6643429114,24,1.550,47.484067,13.290367,http://www.soeldenhuette.at/
295,Zeppezauer-Haus,,+43662 629862,34,1.663,47.724573,13.007448,https://www.zeppezauerhaus.at
296,NOT_FOUND,,,,,,,
297,Lindauer Hütte,,0043 664 50 33 456,164,1744,47.034547,9.835456,https://lindauerhuette.com/
298,Württembergerhaus,,+436507538927,59,2220,47.210277,10.535555,https://www.wuerttemberger-haus.at
299,NOT_FOUND,,,,,,,
300,Oberwalder-Hütte,,+43 660 1308530,110,2.973,47.105367,12.715533,https://www.alpenverein.at/oberwalderhuette
301,Tiefrastenhütte,,+39 334 9896370,50,2312,46.87628,11.78159,https://www.tiefrasten.com/
302,NOT_FOUND,,,,,,,
303,Alpenrose-Hütte Zillertal,,06641376848,80,1878,47.025345,11.801511,https://www.alpenrose-huette.at
304,Staldenmaadhütte,Peter Baumberger,079 607 10 77,38,1120,46.5960,7.4996,https://www.sac-kirchberg.ch/clubhuette.php
305,Tierberglihütte SAC,Toni Flühmann Nina Reinschmidt,033 971 27 82,78,2795,46.702072,8.414224,http://www.tierbergli.ch
306,Hess-Hütte,,+436644308060,99,1.699,47.56,14.65,https://www.diehesshuette.at
307,NOT_FOUND,,,,,,,
308,Schönbielhütte SAC,Yolanda + Fredy Biner-Perren,027 967 13 54,45,2694,46.001980,7.628976,https://haus-bielti.ch/schoenbielhuette/
309,Saarbrücker Hütte,,+43 6648925587,74,2538,46.89845,10.03605,https://www.saarbrueckerhuette.com
310,Dreischusterhütte,,+39 0474646066,47,1639,46.67453,12.29722,http://www.drei-schuster-huette.com
311,Cabane du Mont d’Or,Commission cabane:Président : Christian Schranz Secrétaire : Amélie Hautier Membres: Steven Von Niederhausern et Anthony Hautier,+41 79 740 12 75,20,1377,46.722757,6.336052,https://www.cas-vallorbe.ch/cabane/
312,Gruebenhütte AACBs,Michel Silbernagel Am Steinweg 28 4106 Therwil,+41763920949,16,2512,46.60589,8.259318,http://www.gruebenhuette.ch/
313,NOT_FOUND,,,,,,,
314,NOT_FOUND,,,,,,,
315,NOT_FOUND,,,,,,,
316,Fraganter Schutzhaus,,+43 4785 396,72,1.810,46.950921,13.027661,https://www.fraganterschutzhaus.at
317,Franz-Fischer-Hütte,,+43 664 7957960,45,2020,47.200214,13.364550,https://www.franzfischer-huette.at
318,Vermigelhütte,Hüttenteam,041 887 17 73,34,2042,46.59709,8.65678,http://www.vermigelhuette.ch
319,Niedersachsenhaus,,+4966488192505,54,2.471,47.060278,13.010278,https://www.niedersachsenhaus.at
320,Innsbrucker Hütte,,00435276295,98,2.369,47.043137,11.310835,https://www.innsbrucker-huette.at
321,NOT_FOUND,,,,,,,
322,NOT_FOUND,,,,,,,
323,Erfurter Hütte,,+436645146833,83,1834,47.441667,11.763056,https://www.erfurterhuette.at
324,Traunsteiner Skihütte/ Winklmoosalm,,08640 8140,25,1160,47.65,12.58,https://www.traunsteinerhuette-winklmoos.de
325,NOT_FOUND,,,,,,,
326,Sunnehüsi,Erika Gerber,+41 78 836 96 49,15,1125,46.643720,7.446150,http://www.sac-sunnehuesi.ch/
327,Schneibsteinhaus,,+49 8652 2596,66,1.670,47.572147,13.039249,https://www.schneibsteinhaus.de
328,Hochweißstein-Haus,,+43 676 746 2886,52,1.868,46.64307,12.7401,https://www.alpenverein.at/hochweisssteinhaus/
329,NOT_FOUND,,,,,,,
330,Clubhaus Metsch,Vincenz Simon Oppliger Tschingelstrasse 20 / 3655 Sigriswil,+41 79 947 70 69,16,1775,46.44,07.46,https://www.sac-huttwil.ch/sektion/clubhaus.php
331,NOT_FOUND,,,,,,,
332,Medelserhütte SAC,Patricia Venzin,+41 81 949 14 03,51,2524,46.640545,8.913761,https://www.medelserhuette.ch
333,Cabane du Fenestral,Gardiens bénévoles du Ski-club Chavalard de Fully,+41277462800,31,2453,46.189072,7.100621,https://www.fenestral.ch
334,Rothornhütte SAC,Brielmaier Daniela,+41 27 967 05 75,54,3180,46.048580,7.697374,https://www.rothornhuette-sac.ch/
335,Refuge Giacomini,Rodolphe Muller,+41244982295,56,1'893,46.288302,7.162045,https://www.anzeindaz.com
336,Priel-Schutzhaus,,+43756420602,150,1420,47.704935,14.081894,https://www.prielschutzhaus.com
337,Zsigmondyhütte (Rif. Comici),,+390474 710358,62,2224,46.628530,12.357851,http://www.zsigmondyhuette.com
338,Mittellegihütte,Bergführerverein Grindelwald,+41 33 853 03 66,36,3'355,46.583412,8.022527,https://www.mittellegi.ch
339,NOT_FOUND,,,,,,,
340,Monte-Leone-Hütte SAC,Claude-André Montandon,+41799349732,20,2848,46.26,8.079,https://www.cas-sommartel.ch/monte-leone/
341,Rifugio Saoseo CAS,Chatrina & Gigi Murtas,+41 81 844 07 66,50,1985,46.39849,10.11739,http://www.saoseo.ch
342,Glorer Hütte,,+43 67761182853,39,2.642,47.030833,12.715556,https://www.glorer-huette.at
343,Hochlecken-Haus,,+436601173017,45,1.572,47.828875,13.605526,https://www.hochleckenhaus.at
344,Jugendbildungsstätte Winterraum,,0832493010,8,857,47.506154,10.385326,https://www.jubi-hindelang.de/
345,NOT_FOUND,,,,,,,
346,ZZZ TEST Monbijouhütte,Daniel Fernandez TEST,000 000 00 00,80,1256,46.944618,7.435092,https://www.sac-cas.ch
347,Berghaus Alpenrösli,Markus Zimmerling BEI FRAGEN 081 332 12 18,+41813321218,60,1775,46.87,89.37,https://www.berghaus-alpenroesli.ch
348,Schalijochbiwak SAC,unbewartet,+41775282362,8,3786,46.093315,7.709522,https://www.sac-basel.ch/deutsch/huetten/schalijoch-biwak/
349,Baltschiederklause SAC,Jolanda Stettler,+41 79 541 65 75,50,2783,46.395051,7.889815,https://www.baltschiederklause.ch
350,Fromatthütte,Heidi Gempeler,+41794526675,20,1800,46.54601,7.43279,https://www.sac-wildhorn.ch/huetten/fromatthuette/
351,NOT_FOUND,,,,,,,
352,NOT_FOUND,,,,,,,
353,Schneealpen-Haus,,+4338572190,34,1788,47.696318,15.609628,http://www.schneealpe.com
354,NOT_FOUND,,,,,,,
355,Ennstaler-Hütte,,+43 664 4901737,38,1543,47.619119,14.676403,
356,NOT_FOUND,,,,,,,
357,NOT_FOUND,,,,,,,
358,NOT_FOUND,,,,,,,
359,NOT_FOUND,,,,,,,
360,NOT_FOUND,,,,,,,
361,NOT_FOUND,,,,,,,
362,NOT_FOUND,,,,,,,
363,Clubheim Fälensee,Unbewartete Privathütte SAC St.Gallen,+41,35,1527,47.25,09.42,https://sac-stgallen.ch/sac-clubheim-faelensee/
364,NOT_FOUND,,,,,,,
365,Langtalereckhütte,,+43 664 5268655,65,2480,46.8288,10.9919,https://alpenverein-karlsruhe.de/huetten/langtalereckhuette
366,Braunschweiger Hütte,,0043664 2012013,158,2.759,46.93540,10.91048,https://www.braunschweiger-huette.at
367,NOT_FOUND,,,,,,,
368,NOT_FOUND,,,,,,,
369,Hildesheimer Hütte,,+43 5254 2300,70,2.899,46.966545,11.117297,https://www.hildesheimerhuette.at/index.html
370,Hochjoch Hospiz,,+43 720 51 31 30,65,2.413,46.82516,10.83393,https://www.hochjoch-hospiz.at
371,Zapporthütte SAC,Daniela Zwyer,+41816641496,24,2276,46.500000,9.093930,https://www.zapporthuette.ch
372,Wolfratshauser Hütte,,+43 650 9568840,42,1752,47.39111,10.84861,https://www.wolfratshauserhuette.at/
373,Kreuzeckhaus,,+49 8821 2202,46,1652,47.45216,11.06610,https://www.kreuzeckhaus.net
374,Hollandiahütte SAC,AlpineExperience GmbH - Christina & Yann Roulet - 3995 Ausserbinn,+41 27 939 11 35,72,3238,46.4753,7.9603,https://www.hollandiahuette.ch
375,NOT_FOUND,,,,,,,
376,NOT_FOUND,,,,,,,
377,Hexenseehütte,,+4354766214,18,2588,47.018826,10.481156,https://www.koelner-haus.at/de/die-hexenseehuette/hexenseehuette/
378,Mischabeljochbiwak SAC,Gerold Bumann,+41797579916,24,3855,46.074210,7.865815,https://mischabeljochbiwak.ch
379,Cabane de Chanrion CAS,Sophie Martin & Nuno Neves,+41277781209,59,2462,45.939266,7.380848,https://www.chanrion.ch/
380,NOT_FOUND,,,,,,,
381,Arbenbiwak SAC,Rinaldo Amacker,+41794090644,15,3224,46.031364,7.665059,https://sac.zermatt.org/verein/arbenbiwak/
382,Cabane de Saleinaz CAS,-,+41277831700,48,2691,45.976355,7.070281,https://www.cas-neuchatel.ch/cabanes/cabane-de-saleinaz-2691m/
383,Feichtau-Hütte,,0664 7346 5776,0,1360,47.801406,14.317450,https://www.alpenverein.at/feichtauhuette/
384,NOT_FOUND,,,,,,,
385,Neue Fürther Hütte,,0043 664 3224762,75,2201,47.1654,12.4245,http://www.fuerther-huette.at
386,Chamanna Coaz CAS,Andrea & Martin Walliser,+41818426278,55,2610,46.38169,9.82834,https://www.coaz.ch
387,Sylvan-Hütte,,015146626864,1,374,49.902413,9.479421,https://www.dav-main-spessart.de
388,Hüfihütte SAC,Désirée Stalder und Daniel Scheuber,+41 41 885 14 75,32,2334,46.802200,8.819044,https://huefihuette.ch
389,Brixner Hütte,,+39 327 532 99 44,28,2282,46.912911,11.620518,http://www.brixnerhuette.it
390,NOT_FOUND,,,,,,,
391,Chamanna da Boval CAS,Roberto Costa,+41818426403,80,2495,46.415199,9.925074,https://www.boval.ch/
392,NOT_FOUND,,,,,,,
393,Douglasshütte,,00436644412378,86,1.979,47.059684,9.754765,https://www.douglasshuette.at
394,Cabane d’Essertze,Marisa Sierro,+41 79 862 67 33,24,2191,46.148057,7.371963,http://essertze.ch/
395,Anhalter Hütte,,+436606647428,74,2040,47.301383,10.667783,https://www.dav-obererneckar.de/Huetten_Wege/Anhalter%20Huette
396,Valentinalm,,+43 660 6799784,35,1215,46.6816,13.0097,https://www.valentinalm.at
397,NOT_FOUND,,,,,,,
398,Etzlihütte SAC,Rita & Res Streiff-Arnold,+41418202288,75,2052 H.ü.M,46.71,08.72,https://www.etzlihuette.ch
399,Capanna Piansecco CAS,Team Piansecco - CAS Bellinzona e Valli,+41 91 869 12 14,42,1982,46.294,8.281,https://www.capannapiansecco.ch
400,Cabane de Valsorey CAS,Isabelle Balleys,+41 27 787 11 22,50,3037,45.930778,7.271748,https://www.valsorey.ch
401,Badener Hütte,,+436649155666,49,2608,47.08119,12.42568,https://www.alpenverein.at/badenerhuette/
402,Preintalerhütte,,+436641448881,144,1656,47.3131,13.8133,http://www.preintaler.at/agp/index.php/unsere-huetten/preintalerhuette
403,Theodor-Körner-Hütte,,+436802216024,30,1456,47.5055,13.4783,https://koerner-huette.at/
404,Rotondohütte SAC,Pia Biondi,+41 41 887 16 16,70,2571,46.54494,8.48383,https://www.rotondohuette.ch
405,Skihütte Elm,Thomas Jäggin,+41 79 864 79 88,15,1745,2.729805,1.198227,https://sac-olten.ch/huetten/skihuette-elm
406,Cabane du Carroz,Gardien.e.s bénévoles*la cabane est ouverte uniquement les week-ends*,+41797566827,18,1508,46.2840,6.0721,https://www.cas-geneve.ch/mCabCarroz.php?choix=2
407,Priener Hütte,,+498057428,72,1410,47.702107,12.327922,http://www.priener-huette.de
408,NOT_FOUND,,,,,,,
409,NOT_FOUND,,,,,,,
410,Gollinghütte,,+43 676 5336288,70,1641,47.2866,13.7693,https://www.gollinghuette.com
411,Alois-Günther-Haus,,+43 3853 300,24,1782,47.5743,15.7906,https://www.aloisguentherhaus.at
412,Rieserfernerhütte,,+390474492125,59,2798,46.89,12.07,https://alpenverein.it/huette/rieserfernerhuette/
413,Cabane Balavaux,Pauline FERRY,+41 78 255 88 07,24,2042,46.157,7.278,https://www.cabanebalavaux.com
414,NOT_FOUND,,,,,,,
415,Kellerjoch-Hütte,,+436641722468,30,2237,47.316541,11.764917,https://www.kellerjoch.at
416,Almtaler Haus,,+436642374442,59,714,47.754855,14.017935,https://www.almtalerhaus.com
417,Ski- und Ferienhaus Obergestelen,Bruno&Katrin Reiss,+41794803674,30,1800,46.58672,7.43225,http://www.sac-obergestelen.ch
418,NOT_FOUND,,,,,,,
419,Capanna Poncione di Braga,"Astrid Lorenzetti Richina (Presidente) Esther Perucchi (Vice-Presidente, responsabile riservazioni + 41 79 221 46 10)",+ 41 79 374 36 71,18,2003,46.42919,8.57221,https://www.utoelocarno.ch
420,Mischabelhütte AACZ,Zurbriggen Jonas und Corina,+41279571317,95,3340,46.10,78.88,https://www.mischabelhuette.ch
421,NOT_FOUND,,,,,,,
422,NOT_FOUND,,,,,,,
423,NOT_FOUND,,,,,,,
424,Habsburg-Haus,,02665 219,69,1785,47.42795,15.41917,https://das-habsburghaus.at
425,Hubertus-Haus,,06606511135,26,946,47.81199,16.02510,
426,NOT_FOUND,,,,,,,
427,NOT_FOUND,,,,,,,
428,NOT_FOUND,,,,,,,
429,Neunkirchner Hütte,,+4366473595991,19,1525,47.27396,14.14879,http://gebirgsverein-neunkirchen.at
430,Peilstein-Haus,,0267487333,56,718,48.014866,16.051710,https://www.gebirgsverein-services.at/peilsteinhaus_web/index.html
431,NOT_FOUND,,,,,,,
432,NOT_FOUND,,,,,,,
433,NOT_FOUND,,,,,,,
434,Wetterkogler-Haus,,+43 33364224,34,1743,47.53041,15.914399,https://www.alpenverein.at/wetterkoglerhaus/
435,Capanna Tomeo,Patriziato di Broglio,0794852388,28,1739,46.366081,8.688937,https://www.capannatomeo.ch/
436,Cabane de la Dent Blanche CAS,TBC,+41 27 283 10 85,34,3507,46.02027,7.6008,https://www.cabane-dent-blanche.ch
437,Lamsenjochhütte,,+43524462063,82,1953,47.380067,11.603557,https://www.alpenverein-muenchen-oberland.de/huetten/alpenvereinshuetten/lamsenjochhuette
438,Berghaus Kleinwalsertal,,+49 160 3314192,45,1.250,47.34875,10.14565,https://www.dav-memmingen.de/index.php?id=559
439,Haus Wäldele,,+49 160 3314192,16,1.250,47.34859,10.14563,https://www.dav-memmingen.de/index.php?id=560
